hole_id,date,easting_x,northing_y,elevation,elev_topo,eoh,is_old,is_twin,inc_samp,elev_1
F08-227,"44249",404555.354,114122.248,533.165,,8.2,"1","1","10",551.713439941406
F08-228,"44391",404577.091,114091.98,537.564,,8,"1","1","12",552.034423828125
F08-229,"44252",404606.469,114122.263,531.379,,16,"1","1","21",545.42529296875
F08-230,"44391",404628.367,114099.169,528.315,,10,"1","1","13",541.880676269531
F08-231,"44252",404655.983,114126.519,524.349,,18.25,"1","0","21",532.234802246094
F08-232,"44391",404676.789,114089.34,521.464,,15,"1","1","21",532.494445800781
F08-233,"44252",404737.353,114114.664,520.093,,6.4,"1","1","8",523.4833984375
F08-234,"44391",404732.955,114088.024,522.773,,13.8,"1","0","16",530.356750488281
F08-235,"44252",404759.223,114126.915,513.84,,7.35,"1","1","9",522.405212402344
F08-236,"44392",404779.455,114101.017,517.895,,7.6,"1","1","8",526.946899414062
F08-237,"44253",404807.122,114126.043,511.967,,10,"1","1","12",521.910827636719
F08-238,"44392",404831.296,114098.557,510.039,,8,"1","1","9",520.052368164062
F08-239,"44253",404857.737,114125.195,504.292,,11,"1","0","11",511.76318359375
F08-240,"44392",404877.426,114097.368,495.355,,11,"1","1","11",509.786987304688
F08-241,"44253",404907.444,114123.745,481.823,,8,"1","1","10",501.393859863281
F08-242,"44392",404918.701,114092.709,477.651,,6,"1","1","10",501.247833251953
F09-001,"44249",404508.714,114071.642,546.331,,9.25,"1","1","10",564.234313964844
F09-002,"44390",404529.374,114056.481,545.145,,18,"1","1","23",563.830749511719
F09-003,"44249",404555.086,114074.266,541.017,,15,"1","1","19",557.348205566406
F09-004,"44390",404578.113,114049.863,539.468,,10,"1","1","10",555.468688964844
F09-005,"44252",404602.724,114078.045,534.263,,18,"1","1","26",547.968872070312
F09-006,"44391",404630.02,114040.777,534.681,,14,"1","1","16",551.214477539062
F09-007,"44252",404659.86,114074.569,526.266,,14.7,"1","1","21",538.607727050781
F09-008,"44391",404672.739,114049.161,524.405,,10,"1","1","12",544.912109375
F09-009,"44251",404699.662,114075.534,517.055,,12,"1","1","16",536.528198242188
F09-010,"44391",404726.842,114044.229,525.887,,6,"1","1","9",536.463195800781
F09-011,"44251",404757.755,114076.47,522.745,,9.3,"1","1","11",530.739624023438
F09-012,"44391",404779.274,114047.488,513.961,,6,"1","1","10",526.735656738281
F09-013,"44251",404809.104,114080.356,512.745,,8.3,"1","0","11",526.347290039062
F09-014,"44391",404827.806,114045.717,503.487,,9.35,"1","1","11",516.844604492188
F09-015,"44253",404857.085,114075.697,497.708,,5.7,"1","0","6",514.003784179688
F09-016,"44391",404880.468,114049.576,492.794,,8.7,"1","0","12",507.520751953125
F09-017,"44253",404902.51,114073.993,486.153,,9.6,"1","1","12",504.729583740234
F09-018,"44392",404929.523,114061.644,485.034,,5.5,"1","0","15",498.741302490234
F09-033,"44249",404502.969,114023.737,552.85,,9,"1","0","11",573.394226074219
F09-034,"44389",404525.989,114006.827,549.177,,9,"1","0","11",572.078063964844
F09-035,"44249",404557.998,114027.32,541.738,,5.2,"1","1","9",562.228576660156
F09-036,"44389",404588.773,113993.266,541.59,,15,"1","0","16",561.213439941406
F09-037,"44252",404605.092,114021.975,536.866,,7.2,"1","1","11",556.078125
F09-038,"44392",404625.246,114009.305,533.626,,13,"1","0","20",555.275268554688
F09-039,"44252",404655.107,114024.109,526.333,,8.8,"1","1","15",551.012268066406
F09-040,"44392",404677.067,114000.23,528.779,,18,"1","1","24",547.440185546875
F09-041,"44252",404706.157,114024.528,526.507,,16.4,"1","1","22",541.593200683594
F09-042,"44392",404721.818,113998.206,523.201,,21.5,"1","0","29",538.623352050781
F09-043,"44251",404755.832,114023.132,515.386,,10,"1","1","12",531.286315917969
F09-044,"44389",404777.911,114008.633,504.821,,13,"1","0","14",525.239013671875
F09-045,"44251",404803.913,114019.871,497.141,,3.5,"1","0","4",520.69384765625
F09-046,"44389",404826.442,114010.841,490.84,,10,"1","0","15",513.827514648438
F09-047,"44251",404858.381,114028.725,491.114,,5.7,"1","0","6",510.411071777344
F09-048,"44389",404876.045,113994.506,481.33,,6,"1","0","7",504.128356933594
F09-049,"44251",404901.948,114022.514,481.372,,6.6,"1","0","8",499.174011230469
F09-050,"44389",404929.67,113993.919,477.535,,11,"1","0","12",498.234100341797
F09-065,"44249",404499.491,113971.113,558.631,,14.3,"1","0","21",581.662658691406
F09-066,"44390",404530.674,113945.772,558.736,,25,"1","0","31",580.430541992188
F09-067,"44252",404561.318,113971.332,547.592,,11.2,"1","0","15",568.37548828125
F09-068,"44389",404576.397,113939.011,549.556,,12,"1","0","18",573.644165039062
F09-069,"44252",404608.72,113977.992,540.231,,9.5,"1","0","13",561.312072753906
F09-070,"44389",404629.128,113941.99,537.568,,12,"1","0","15",559.147094726562
F09-071,"44252",404654.232,113979.861,533.727,,9,"1","0","13",553.876953125
F09-072,"44389",404669.348,113949.184,536.823,,15,"1","0","17",551.282836914062
F09-073,"44252",404702.592,113972.375,527.463,,9.2,"1","0","12",543.426391601562
F09-074,"44389",404722.846,113949.926,519.168,,10.5,"1","0","12",541.238037109375
F09-075,"44251",404756.246,113974.161,512.662,,4.3,"1","0","6",531.180236816406
F09-076,"44389",404777.519,113953.979,512.577,,13.5,"1","0","14",525.542541503906
F09-077,"44251",404805.686,113975.197,503.353,,5.5,"1","0","6",518.963073730469
F09-078,"44389",404822.131,113957.579,497.805,,15,"1","0","15",515.966491699219
F09-079,"44251",404855.483,113982.375,491.616,,9.45,"1","0","12",508.080505371094
F09-080,"44389",404875.366,113953.799,484.354,,8.2,"1","0","13",506.946472167969
F09-081,"44251",404911.454,113973.339,479.258,,4.4,"1","0","7",501.61083984375
F09-082,"44389",404921.05,113940.044,482.544,,6,"1","0","13",501.514068603516
F09-097,"44249",404513.452,113927.411,565.281,,11.2,"1","0","18",589.160766601562
F09-098,"44481",404534.456,113890.284,568.379,,27.55,"1","0","38",593.072875976562
F09-099,"44249",404554.227,113919.672,558.645,,13.7,"1","0","15",583.745849609375
F09-100,"44389",404586.383,113895.46,554.499,,16.8,"1","0","20",577.854370117188
F09-101,"44252",404608.579,113923.754,545.646,,10,"1","0","12",567.789672851562
F09-102,"44389",404621.033,113890.149,542.792,,13.7,"1","0","14",566.02392578125
F09-103,"44252",404654.588,113926.304,537.182,,7.3,"1","0","10",555.319519042969
F09-104,"44480",404675.795,113888.521,527.709,,18,"1","0","20",553.684692382812
F09-105,"44251",404707.778,113927.831,520.947,,11.6,"1","0","14",545.9150390625
F09-106,"44480",404722.27,113894.426,523.222,,26.8,"1","0","27",544.172668457031
F09-107,"44251",404755.642,113926.304,516.864,,13,"1","0","14",533.831115722656
F09-129,"44249",404508.791,113873.864,576.369,,9.6,"1","0","11",601.21533203125
F09-130,"44481",404537.921,113850.717,568.164,,11.5,"1","0","13",593.2236328125
F09-131,"44249",404557.72,113874.621,563.688,,14,"1","0","15",589.443359375
F09-132,"44481",404580.006,113844.412,556.897,,17,"1","0","17",583.537841796875
F09-133,"44249",404605.794,113859.179,547.849,,15.3,"1","0","17",574.113525390625
F09-134A,"44480",404637.568,113824.89,546.531,,30.4,"1","0","36",570.626342773438
F09-135,"44249",404656.398,113876.439,535.397,,17.8,"1","0","22",559.177734375
F09-136,"44480",404685.05,113847.851,537.261,,23.5,"1","0","33",556.211730957031
F09-137,"44249",404706.642,113878.945,528.226,,20.35,"1","0","21",548.5078125
F09-138,"44480",404729.14,113850.541,535.17,,29,"1","0","34",547.920288085938
F09-139,"44251",404751.78,113879.721,523.973,,13.4,"1","0","16",537.802062988281
F09-164,"44481",404580.678,113788.365,565.635,,30,"1","0","32",591.235290527344
F09-165,"44249",404613.994,113820.9,549.617,,11.8,"1","0","14",575.410522460938
F09-166,"44481",404633.1,113794.913,553.501,,29,"1","0","39",577.356262207031
F09-167,"44249",404661.432,113823.389,543.945,,17.35,"1","0","22",565.007080078125
F09-168,"44481",404678.164,113795.466,546.124,,24.2,"1","0","30",565.013122558594
F09-169,"44249",404707.95,113827.718,539.151,,4,"1","0","5",557.028747558594
F09-170,"44480",404736.576,113792.06,539.381,,29.6,"1","0","32",555.688415527344
F09-171,"44250",404751.552,113807.609,535.822,,12,"1","0","13",550.444519042969
F09-196,"44481",404571.615,113746.711,580.248,,23.6,"1","0","30",600.607543945312
