hole_id;date;easting_x;northing_y;elevation;elev_topo;eoh;is_old;is_twin;inc_samp
F07-135;44247;404655.677;114674.874;351.715;373.7090149;21;1;0;22
F07-136;44395;404685.048;114647.126;354.392;371.2650146;12;1;0;18
F07-137;44247;404699.827;114667.991;345.306;366.3880005;16;1;0;17
F07-161;44547;404512.087;114611.12;391.055;413.5740051;3.5;1;1;5
F07-162;44395;404529.745;114600.804;397.088;415.0799866;10;1;0;11
F07-163;44248;404550.74;114624.432;390.881;406.3959961;10;1;1;11
F07-164;44395;404579.088;114604.226;387.611;406.5400085;18;1;0;21
F07-165;44247;404608.04;114623.583;380.614;394.368988;15;1;0;20
F07-166;44395;404635.474;114604.088;379.714;390.1539917;12;1;0;13
F07-167;44247;404656.916;114616.94;369.939;381.243988;11.5;1;0;14
F07-168;44395;404675.615;114601.857;365.543;378.2430115;9;1;0;11
F07-169;44247;404698.14;114618.027;363.587;371.8359985;4;1;0;7
F07-193;44547;404501.861;114566.136;406.104;424.7529907;12;1;1;12
F07-194;44395;404531.987;114543.005;410.469;428.256012;9;1;0;9
F07-195;44547;404547.577;114570.519;401.148;420.0589905;11;1;0;12
F07-196;44395;404585.142;114555.681;397.948;413.1419983;10;1;0;10
F07-197;44247;404603.767;114571.411;390.493;403.9230042;13.5;1;0;16
F07-199;44247;404659.541;114596.305;364.284;382.9559937;5;1;0;7
F07-201;44247;404697.158;114589.046;358.977;372.5679932;5;1;0;6
F07-225;44547;404507.173;114523.769;418.223;433.9389954;8;1;1;8
F07-227;44547;404553.118;114521.279;409.541;429.743988;9.5;1;1;11
F07-229;44547;404594.6;114520.024;401.245;416.9100037;16;1;1;16
F08-065;44393;404501.478;114368.528;478.682;488.9719849;15;1;0;30
F08-097;44254;404505.054;114321.608;500.293;496.2690125;5;1;0;5
F08-129;44254;404499.511;114275.675;503.372;509.7430115;8;1;0;9
F08-130;44391;404536.99;114240.444;508.88;521.440979;13;1;0;27
F08-131;44254;404575.636;114263.904;501.141;501.5069885;10.5;1;0;13
F08-132;44390;404590.501;114236.304;506.105;517.6190186;11;1;0;14
F08-133;44254;404607.5;114275.567;492.867;492.8739929;6;1;0;7
F08-161;44254;404508.484;114228.671;511.048;531.1810303;8;1;0;13
F08-162;44390;404528.916;114194.797;521.411;538.9890137;8.1;1;1;12
F08-163;44254;404555.306;114224.799;511.885;528.0629883;10;1;0;10
F08-164;44390;404581.518;114195.946;514.775;533.1610107;12.5;1;1;16
F08-165;44254;404610.071;114219.796;507.863;519.8099976;14.25;1;0;17
F08-166;44390;404624.548;114189.562;510.58;524.9660034;8;1;0;10
F08-167;44254;404652.278;114210.068;499.507;510.9660034;3.5;1;0;5
F08-172A;44392;404783.161;114200.427;487.382;505.3059998;15;1;1;16
F08-173;44253;404807.142;114223.136;481.044;496.6069946;10.6;1;1;13
F08-174;44392;404833.539;114190.444;489.273;508.4240112;9;1;1;13
F08-175;44253;404846.681;114217.889;490.09;496.178009;3;1;1;3
F08-176;44392;404881.092;114190.14;477.354;498.2460022;18.8;1;1;25
F08-177;44253;404905.366;114215.256;468.925;483.9679871;16;1;0;17
F08-178;44392;404925.791;114196.362;465.974;486.178009;16.3;1;1;19
F08-193;44249;404518.166;114175.246;527.039;544.2269897;5.85;1;1;6
F08-194;44390;404533.772;114145.659;532.822;549.3610229;7.25;1;1;9
F08-195;44249;404553.709;114174.885;525.074;541.9730225;8.8;1;1;9
F08-196;44390;404577.719;114148.972;527.442;546.4910278;15;1;1;19
F08-197;44254;404615.46;114170.728;516.966;534.0930176;8.75;1;1;10
F08-198;44390;404632.84;114143.636;524.72;535.5650024;12;1;0;17
F08-199;44254;404658.259;114175.12;508.573;518.9520264;9.75;1;0;11
F08-203;44253;404757.489;114174.77;486;512.3120117;8.3;1;1;11
F08-204;44392;404778.515;114141.253;507.682;520.8099976;13;1;1;15
F08-205;44253;404800.987;114180.012;493.104;512.6749878;14.5;1;1;17
F08-206;44392;404829.763;114153.191;502.437;516.5180054;5;1;1;6
F08-207;44253;404859.277;114169.624;489.761;508.6229858;11.85;1;1;13
F08-208;44392;404875.311;114142.517;498.771;504.6300049;15;1;0;16
F08-209;44253;404903.994;114176.47;478.913;493.178009;10.6;1;1;14
F08-210;44392;404916.22;114145.889;475.986;493.1730042;12;1;1;12
F08-225;44249;404509.66;114125.387;536.528;553.9799805;13;1;1;14
F08-226;44389;404524.656;114101.971;540.451;557.3800049;15.7;1;1;21
F08-227;44249;404555.354;114122.248;533.165;551.8959961;8.2;1;1;10
F08-228;44391;404577.091;114091.98;537.564;552.4630127;8;1;1;12
F08-229;44252;404606.469;114122.263;531.379;545.3770142;16;1;1;21
F08-230;44391;404628.367;114099.169;528.315;542.2490234;10;1;1;13
F08-231;44252;404655.983;114126.519;524.349;531.6849976;18.25;1;0;21
F08-232;44391;404676.789;114089.34;521.464;533.0020142;15;1;1;21
F08-233;44252;404737.353;114114.664;520.093;523.6170044;6.4;1;1;8
F08-234;44391;404732.955;114088.024;522.773;530.6630249;13.8;1;0;16
F08-235;44252;404759.223;114126.915;513.84;522.0629883;7.35;1;1;9
F08-236;44392;404779.455;114101.017;517.895;526.6760254;7.6;1;1;8
F08-237;44253;404807.122;114126.043;511.967;521.4550171;10;1;1;12
F08-238;44392;404831.296;114098.557;510.039;519.8200073;8;1;1;9
F08-239;44253;404857.737;114125.195;504.292;510.993988;11;1;0;11
F08-240;44392;404877.426;114097.368;495.355;510.3370056;11;1;1;11
F08-241;44253;404907.444;114123.745;481.823;500.9309998;8;1;1;10
F08-242;44392;404918.701;114092.709;477.651;502.0610046;6;1;1;10
F09-001;44249;404508.714;114071.642;546.331;564.322998;9.25;1;1;10
F09-002;44390;404529.374;114056.481;545.145;564.1519775;18;1;1;23
F09-003;44249;404555.086;114074.266;541.017;557.4069824;15;1;1;19
F09-004;44390;404578.113;114049.863;539.468;555.6959839;10;1;1;10
F09-005;44252;404602.724;114078.045;534.263;548.822998;18;1;1;26
F09-006;44391;404630.02;114040.777;534.681;551.1660156;14;1;1;16
F09-007;44252;404659.86;114074.569;526.266;539.0599976;14.7;1;1;21
F09-008;44391;404672.739;114049.161;524.405;544.7189941;10;1;1;12
F09-009;44251;404699.662;114075.534;517.055;536.0269775;12;1;1;16
F09-010;44391;404726.842;114044.229;525.887;537.3040161;6;1;1;9
F09-011;44251;404757.755;114076.47;522.745;530.1870117;9.3;1;1;11
F09-012;44391;404779.274;114047.488;513.961;526.8289795;6;1;1;10
F09-013;44251;404809.104;114080.356;512.745;525.8839722;8.3;1;0;11
F09-014;44391;404827.806;114045.717;503.487;517.0679932;9.35;1;1;11
F09-015;44253;404857.085;114075.697;497.708;513.7800293;5.7;1;0;6
F09-016;44391;404880.468;114049.576;492.794;507.5610046;8.7;1;0;12
F09-017;44253;404902.51;114073.993;486.153;505.2999878;9.6;1;1;12
F09-018;44392;404929.523;114061.644;485.034;498.7009888;5.5;1;0;15
F09-033;44249;404502.969;114023.737;552.85;573.8640137;9;1;0;11
F09-034;44389;404525.989;114006.827;549.177;571.3469849;9;1;0;11
F09-035;44249;404557.998;114027.32;541.738;561.3519897;5.2;1;1;9
F09-036;44389;404588.773;113993.266;541.59;560.8980103;15;1;0;16
F09-037;44252;404605.092;114021.975;536.866;556.3480225;7.2;1;1;11
F09-038;44392;404625.246;114009.305;533.626;554.9349976;13;1;0;20
F09-039;44252;404655.107;114024.109;526.333;551.0529785;8.8;1;1;15
F09-040;44392;404677.067;114000.23;528.779;548.1149902;18;1;1;24
F09-041;44252;404706.157;114024.528;526.507;541.4829712;16.4;1;1;22
F09-042;44392;404721.818;113998.206;523.201;538.7130127;21.5;1;0;29
F09-043;44251;404755.832;114023.132;515.386;531.2299805;10;1;1;12
F09-044;44389;404777.911;114008.633;504.821;525.9140015;13;1;0;14
F09-045;44251;404803.913;114019.871;497.141;520.7670288;3.5;1;0;4
F09-046;44389;404826.442;114010.841;490.84;515.0170288;10;1;0;15
F09-047;44251;404858.381;114028.725;491.114;509.4909973;5.7;1;0;6
F09-048;44389;404876.045;113994.506;481.33;504.355011;6;1;0;7
F09-049;44251;404901.948;114022.514;481.372;499.553009;6.6;1;0;8
F09-050;44389;404929.67;113993.919;477.535;498.0029907;11;1;0;12
F09-065;44249;404499.491;113971.113;558.631;581.742981;14.3;1;0;21
F09-066;44390;404530.674;113945.772;558.736;581.2700195;25;1;0;31
F09-067;44252;404561.318;113971.332;547.592;569.4190063;11.2;1;0;15
F09-068;44389;404576.397;113939.011;549.556;573.0759888;12;1;0;18
F09-069;44252;404608.72;113977.992;540.231;560.1119995;9.5;1;0;13
F09-070;44389;404629.128;113941.99;537.568;559.4619751;12;1;0;15
F09-071;44252;404654.232;113979.861;533.727;554.2880249;9;1;0;13
F09-072;44389;404669.348;113949.184;536.823;551.8809814;15;1;0;17
F09-073;44252;404702.592;113972.375;527.463;544.1019897;9.2;1;0;12
F09-074;44389;404722.846;113949.926;519.168;541.0230103;10.5;1;0;12
F09-075;44251;404756.246;113974.161;512.662;530.9190063;4.3;1;0;6
F09-076;44389;404777.519;113953.979;512.577;526.5859985;13.5;1;0;14
F09-077;44251;404805.686;113975.197;503.353;518.8179932;5.5;1;0;6
F09-078;44389;404822.131;113957.579;497.805;515.9060059;15;1;0;15
F09-079;44251;404855.483;113982.375;491.616;508.019989;9.45;1;0;12
F09-080;44389;404875.366;113953.799;484.354;506.631012;8.2;1;0;13
F09-081;44251;404911.454;113973.339;479.258;501.9259949;4.4;1;0;7
F09-082;44389;404921.05;113940.044;482.544;501.5830078;6;1;0;13
F09-097;44249;404513.452;113927.411;565.281;588.4959717;11.2;1;0;18
