hole_id,date,easting_x,northing_y,elevation,eoh,inc_samp
E08-147,44318,404164.059,114273.188,526.666,7.5,9
E08-149,44318,404212.264,114271.885,527.56,12,13
E08-151,44317,404249.032,114270.747,527.807,7.8,10
E08-153,44317,404303.718,114267.499,541.136,10.5,16
E08-158,44391,404430.395,114240.637,516.978,6,10
E08-160,44391,404480.337,114245.966,512.511,20,22
E08-179,44318,404156.584,114223.56,535.615,18,23
E08-181,44318,404204.298,114226.506,535.763,11.8,15
E08-185,44317,404304.522,114224.801,551.054,11.7,15
E08-190,44390,404434.642,114192.342,531.436,5.7,10
E08-192,44390,404470.85,114191.289,524.56,3.35,5
E08-211,44318,404157.419,114170.29,549.735,21,26
E08-213,44318,404203.153,114177.232,556.155,13,14
E08-215,44318,404253.331,114169.175,567.073,7,7
E08-224,44390,404477.707,114151.661,534.621,10,13
E08-255,44254,404459.247,114118.481,544.017,13,15
E08-256,44390,404468.543,114104.414,544.076,10.5,17
E09-031,44254,404450.634,114062.477,553.922,10,13
E09-032,44390,404477.912,114046.319,552.542,15,21
E09-064,44390,404479.817,114000.73,558.42,11,13
E09-096,44483,404469.178,113955.033,565.047,20,25
E09-127,44249,404459.652,113920.205,576.081,10.1,13
E09-128,44481,404479.659,113903.403,578.693,15,21
E09-160A,44481,404479.556,113849.856,587.634,20,28
F07-001,44248,404506.71,114873.485,366.71,19,19
F07-002,44256,404523.855,114858.029,361.801,15.8,16
F07-003,44248,404556.468,114875.302,354.937,19,19
F07-004,44256,404576.914,114846.977,355.231,13,13
F07-005,44248,404606.001,114874.269,351.683,22.2,23
F07-033,44255,404506.9,114822.984,364.506,20,20
F07-034,44394,404530.545,114797.258,363.651,15,21
F07-035,44255,404557.467,114824.814,359.653,18,18
F07-036,44394,404581.619,114801.061,360.306,22.5,27
F07-037,44248,404606.1,114827.635,350.593,17,19
F07-038,44395,404626.209,114792.456,353.584,20,28
F07-040,44395,404688.71,114785.019,355.237,14,19
F07-041,44247,404707.705,114823.041,352.455,15,15
F07-065,44255,404505.506,114773.581,373.419,9.6,14
F07-066,44394,404528.328,114751.388,371.954,12,18
F07-067,44255,404556.059,114769.852,364.205,19,21
F07-069,44248,404607.818,114774.385,351.673,17.5,18
F07-070,44395,404631.932,114735.632,359.513,14,21
F07-071,44248,404663.683,114773.619,347.057,12,12
F07-072,44395,404679.308,114746.098,363.556,11,14
F07-073,44247,404707.346,114774.265,361.131,12.5,14
F07-097,44255,404505.921,114725.746,376.609,5.3,6
F07-099,44255,404555.005,114724.671,360.33,14,16
F07-100,44395,404581.168,114688.048,381,10,11
F07-101,44247,404607.448,114721.774,367.28,8.5,9
F07-102,44395,404629.02,114699.578,366.533,6,6
F07-103,44247,404656.183,114725.406,361.452,9.5,11
F07-104,44395,404669.508,114703.972,351.002,16,22
F07-105,44247,404706.416,114696.762,340.77,22,22
F07-129,44547,404503.978,114671.262,376.731,8,10
F07-130,44395,404534.371,114640.291,391.921,7,8
F07-131,44248,404548.458,114668.181,391.412,9,11
F07-132,44395,404589.187,114644.858,374.35,9,10
F07-133,44248,404602.628,114663.926,365.983,11,11
F07-134,44395,404631.229,114645.798,361.456,18,20
F07-135,44247,404655.677,114674.874,351.715,21,22
F07-136,44395,404685.048,114647.126,354.392,12,18
F07-137,44247,404699.827,114667.991,345.306,16,17
F07-161,44547,404512.087,114611.12,391.055,3.5,5
F07-162,44395,404529.745,114600.804,397.088,10,11
F07-163,44248,404550.74,114624.432,390.881,10,11
F07-164,44395,404579.088,114604.226,387.611,18,21
F07-165,44247,404608.04,114623.583,380.614,15,20
F07-166,44395,404635.474,114604.088,379.714,12,13
F07-167,44247,404656.916,114616.94,369.939,11.5,14
F07-168,44395,404675.615,114601.857,365.543,9,11
F07-169,44247,404698.14,114618.027,363.587,4,7
F07-193,44547,404501.861,114566.136,406.104,12,12
F07-194,44395,404531.987,114543.005,410.469,9,9
F07-195,44547,404547.577,114570.519,401.148,11,12
F07-196,44395,404585.142,114555.681,397.948,10,10
F07-197,44247,404603.767,114571.411,390.493,13.5,16
F07-199,44247,404659.541,114596.305,364.284,5,7
F07-201,44247,404697.158,114589.046,358.977,5,6
F07-225,44547,404507.173,114523.769,418.223,8,8
F07-227,44547,404553.118,114521.279,409.541,9.5,11
F07-229,44547,404594.6,114520.024,401.245,16,16
F08-065,44393,404501.478,114368.528,478.682,15,30
F08-097,44254,404505.054,114321.608,500.293,5,5
F08-129,44254,404499.511,114275.675,503.372,8,9
F08-130,44391,404536.99,114240.444,508.88,13,27
F08-131,44254,404575.636,114263.904,501.141,10.5,13
F08-132,44390,404590.501,114236.304,506.105,11,14
F08-133,44254,404607.5,114275.567,492.867,6,7
F08-161,44254,404508.484,114228.671,511.048,8,13
F08-162,44390,404528.916,114194.797,521.411,8.1,12
F08-163,44254,404555.306,114224.799,511.885,10,10
F08-164,44390,404581.518,114195.946,514.775,12.5,16
F08-165,44254,404610.071,114219.796,507.863,14.25,17
F08-166,44390,404624.548,114189.562,510.58,8,10
F08-167,44254,404652.278,114210.068,499.507,3.5,5
F08-172A,44392,404783.161,114200.427,487.382,15,16
F08-173,44253,404807.142,114223.136,481.044,10.6,13
F08-174,44392,404833.539,114190.444,489.273,9,13
F08-175,44253,404846.681,114217.889,490.09,3,3
F08-176,44392,404881.092,114190.14,477.354,18.8,25
F08-177,44253,404905.366,114215.256,468.925,16,17
F08-178,44392,404925.791,114196.362,465.974,16.3,19
F08-193,44249,404518.166,114175.246,527.039,5.85,6
F08-194,44390,404533.772,114145.659,532.822,7.25,9
F08-195,44249,404553.709,114174.885,525.074,8.8,9
F08-196,44390,404577.719,114148.972,527.442,15,19
F08-197,44254,404615.46,114170.728,516.966,8.75,10
F08-198,44390,404632.84,114143.636,524.72,12,17
F08-199,44254,404658.259,114175.12,508.573,9.75,11
F08-203,44253,404757.489,114174.77,486,8.3,11
F08-204,44392,404778.515,114141.253,507.682,13,15
F08-205,44253,404800.987,114180.012,493.104,14.5,17
F08-206,44392,404829.763,114153.191,502.437,5,6
F08-207,44253,404859.277,114169.624,489.761,11.85,13
F08-208,44392,404875.311,114142.517,498.771,15,16
F08-209,44253,404903.994,114176.47,478.913,10.6,14
F08-210,44392,404916.22,114145.889,475.986,12,12
F08-225,44249,404509.66,114125.387,536.528,13,14
F08-226,44389,404524.656,114101.971,540.451,15.7,21
F08-227,44249,404555.354,114122.248,533.165,8.2,10
F08-228,44391,404577.091,114091.98,537.564,8,12
F08-229,44252,404606.469,114122.263,531.379,16,21
F08-230,44391,404628.367,114099.169,528.315,10,13
F08-231,44252,404655.983,114126.519,524.349,18.25,21
F08-232,44391,404676.789,114089.34,521.464,15,21
F08-233,44252,404737.353,114114.664,520.093,6.4,8
F08-234,44391,404732.955,114088.024,522.773,13.8,16
F08-235,44252,404759.223,114126.915,513.84,7.35,9
F08-236,44392,404779.455,114101.017,517.895,7.6,8
F08-237,44253,404807.122,114126.043,511.967,10,12
F08-238,44392,404831.296,114098.557,510.039,8,9
F08-239,44253,404857.737,114125.195,504.292,11,11
F08-240,44392,404877.426,114097.368,495.355,11,11
F08-241,44253,404907.444,114123.745,481.823,8,10
F08-242,44392,404918.701,114092.709,477.651,6,10
F09-001,44249,404508.714,114071.642,546.331,9.25,10
F09-002,44390,404529.374,114056.481,545.145,18,23
F09-003,44249,404555.086,114074.266,541.017,15,19
F09-004,44390,404578.113,114049.863,539.468,10,10
F09-005,44252,404602.724,114078.045,534.263,18,26
F09-006,44391,404630.02,114040.777,534.681,14,16
F09-007,44252,404659.86,114074.569,526.266,14.7,21
F09-008,44391,404672.739,114049.161,524.405,10,12
F09-009,44251,404699.662,114075.534,517.055,12,16
F09-010,44391,404726.842,114044.229,525.887,6,9
F09-011,44251,404757.755,114076.47,522.745,9.3,11
F09-012,44391,404779.274,114047.488,513.961,6,10
F09-013,44251,404809.104,114080.356,512.745,8.3,11
F09-014,44391,404827.806,114045.717,503.487,9.35,11
F09-015,44253,404857.085,114075.697,497.708,5.7,6
F09-016,44391,404880.468,114049.576,492.794,8.7,12
F09-017,44253,404902.51,114073.993,486.153,9.6,12
F09-018,44392,404929.523,114061.644,485.034,5.5,15
F09-033,44249,404502.969,114023.737,552.85,9,11
F09-034,44389,404525.989,114006.827,549.177,9,11
F09-035,44249,404557.998,114027.32,541.738,5.2,9
F09-036,44389,404588.773,113993.266,541.59,15,16
F09-037,44252,404605.092,114021.975,536.866,7.2,11
F09-038,44392,404625.246,114009.305,533.626,13,20
F09-039,44252,404655.107,114024.109,526.333,8.8,15
F09-040,44392,404677.067,114000.23,528.779,18,24
F09-041,44252,404706.157,114024.528,526.507,16.4,22
F09-042,44392,404721.818,113998.206,523.201,21.5,29
F09-043,44251,404755.832,114023.132,515.386,10,12
F09-044,44389,404777.911,114008.633,504.821,13,14
F09-045,44251,404803.913,114019.871,497.141,3.5,4
F09-046,44389,404826.442,114010.841,490.84,10,15
F09-047,44251,404858.381,114028.725,491.114,5.7,6
F09-048,44389,404876.045,113994.506,481.33,6,7
F09-049,44251,404901.948,114022.514,481.372,6.6,8
F09-050,44389,404929.67,113993.919,477.535,11,12
F09-065,44249,404499.491,113971.113,558.631,14.3,21
F09-066,44390,404530.674,113945.772,558.736,25,31
F09-067,44252,404561.318,113971.332,547.592,11.2,15
F09-068,44389,404576.397,113939.011,549.556,12,18
F09-069,44252,404608.72,113977.992,540.231,9.5,13
F09-070,44389,404629.128,113941.99,537.568,12,15
F09-071,44252,404654.232,113979.861,533.727,9,13
F09-072,44389,404669.348,113949.184,536.823,15,17
F09-073,44252,404702.592,113972.375,527.463,9.2,12
F09-074,44389,404722.846,113949.926,519.168,10.5,12
F09-075,44251,404756.246,113974.161,512.662,4.3,6
F09-076,44389,404777.519,113953.979,512.577,13.5,14
F09-077,44251,404805.686,113975.197,503.353,5.5,6
F09-078,44389,404822.131,113957.579,497.805,15,15
F09-079,44251,404855.483,113982.375,491.616,9.45,12
F09-080,44389,404875.366,113953.799,484.354,8.2,13
F09-081,44251,404911.454,113973.339,479.258,4.4,7
F09-082,44389,404921.05,113940.044,482.544,6,13
F09-097,44249,404513.452,113927.411,565.281,11.2,18
F09-098,44481,404534.456,113890.284,568.379,27.55,38
F09-099,44249,404554.227,113919.672,558.645,13.7,15
F09-100,44389,404586.383,113895.46,554.499,16.8,20
F09-101,44252,404608.579,113923.754,545.646,10,12
F09-102,44389,404621.033,113890.149,542.792,13.7,14
F09-103,44252,404654.588,113926.304,537.182,7.3,10
F09-104,44480,404675.795,113888.521,527.709,18,20
F09-105,44251,404707.778,113927.831,520.947,11.6,14
F09-106,44480,404722.27,113894.426,523.222,26.8,27
F09-107,44251,404755.642,113926.304,516.864,13,14
F09-129,44249,404508.791,113873.864,576.369,9.6,11
F09-130,44481,404537.921,113850.717,568.164,11.5,13
F09-131,44249,404557.72,113874.621,563.688,14,15
F09-132,44481,404580.006,113844.412,556.897,17,17
F09-133,44249,404605.794,113859.179,547.849,15.3,17
F09-134A,44480,404637.568,113824.89,546.531,30.4,36
F09-135,44249,404656.398,113876.439,535.397,17.8,22
F09-136,44480,404685.05,113847.851,537.261,23.5,33
F09-137,44249,404706.642,113878.945,528.226,20.35,21
F09-138,44480,404729.14,113850.541,535.17,29,34
F09-139,44251,404751.78,113879.721,523.973,13.4,16
F09-164,44481,404580.678,113788.365,565.635,30,32
F09-165,44249,404613.994,113820.9,549.617,11.8,14
F09-166,44481,404633.1,113794.913,553.501,29,39
F09-167,44249,404661.432,113823.389,543.945,17.35,22
F09-168,44481,404678.164,113795.466,546.124,24.2,30
F09-169,44249,404707.95,113827.718,539.151,4,5
F09-170,44480,404736.576,113792.06,539.381,29.6,32
F09-171,44250,404751.552,113807.609,535.822,12,13
F09-196,44481,404571.615,113746.711,580.248,23.6,30
F09-197,44250,404607.034,113774.441,561.028,16,19
F09-198,44481,404632.058,113751.45,560.678,27.25,27
F09-199,44250,404655.815,113773.742,552.389,14.3,18
F09-200,44480,404681,113749.913,550.233,28.5,36
F09-201,44250,404706.038,113775.972,540.35,10,11
F09-202,44480,404739.742,113745.737,543.686,30,34
F09-203,44250,404756.795,113774.549,540.185,18.7,19
F09-228,44481,404575.206,113699.407,591.734,24,25
F09-229,44250,404605.298,113718.114,575.394,15,16
F09-230,44481,404634.868,113684.341,574.34,18.3,21
F09-231,44250,404658.57,113720.748,562.384,5.6,7
F09-232,44480,404681.185,113697.628,561.815,25.7,29
F09-233,44250,404705,113726.424,550.951,13,16
F09-234,44480,404737.811,113695.289,552.96,20,24
F09-235G,44250,404752.496,113726.986,544.203,16,19
F10-004,44480,404587.795,113649.601,596.733,13.3,16
F10-005,44250,404611.276,113685.094,579.379,9,12
F10-006,44480,404635.131,113644.415,587.104,23,26
F10-007,44250,404654.538,113682.925,570.758,15,17
F10-008,44480,404681.4,113645.129,580.632,14,17
F10-009,44250,404706.743,113674.112,562.996,12,15
