sample_id,hole_id,depth_from,depth_to,core_length,cr_%,ni,fe,mgo,sio2
B1/E07-026/JAS/15,E07-026,11,12,1,1,0.26,5.78,38.3,41.51
B1/E07-027/JAS/01,E07-027,0,0.25,0.25,1,0.84,29.05,11.16,31.19
B1/E07-027/JAS/02,E07-027,0.25,1,0.75,1,1.07,10.29,28.88,40.63
B1/E07-027/JAS/03,E07-027,1,2,1,1,0.79,9.36,26.59,42.8
B1/E07-027/JAS/04,E07-027,2,3,1,1,0.79,9.36,26.59,42.8
B1/E07-027/JAS/05,E07-027,3,4,1,1,0.79,9.36,26.59,42.8
B1/E07-027/JAS/06,E07-027,4,4.3,0.3,1,0.27,5.96,32.7,44.17
B1/E07-027/JAS/07,E07-027,4.3,4.55,0.25,1,0.27,5.96,32.7,44.17
B1/E07-027/JAS/08,E07-027,4.55,5.5,0.95,1,0.32,8.09,29.73,44.01
B1/E07-027/JAS/09,E07-027,5.5,6,0.5,1,0.32,8.09,29.73,44.01
B1/E07-027/JAS/10,E07-027,6,7,1,1,0.32,8.09,29.73,44.01
B1/E07-027/JAS/11,E07-027,7,8,1,1,0.32,8.09,29.73,44.01
B1/E07-028/JAS/01,E07-028,0,0.78,0.78,1,1.01,31.45,18.24,32.28
B1/E07-028/JAS/02,E07-028,0.78,1.38,0.6,1,0.33,6.26,37.98,41.71
B1/E07-028/JAS/03,E07-028,1.38,2,0.62,1,1.06,24.47,12.58,37.59
B1/E07-028/JAS/04,E07-028,2,2.83,0.83,1,1.05,20.04,21.77,41.48
B1/E07-028/JAS/05,E07-028,2.83,3,0.17,1,0.49,6.37,35.79,42.46
B1/E07-028/JAS/06,E07-028,3,4,1,1,0.64,10.26,27.2,44.83
B1/E07-028/JAS/07,E07-028,4,5,1,1,0.37,7.29,33.38,44.48
B1/E07-028/JAS/08,E07-028,5,6,1,1,0.26,5.69,39.02,41.57
B1/E07-028/JAS/09,E07-028,6,7,1,1,0.26,5.65,37.89,42.59
B1/E07-028/JAS/10,E07-028,7,7.5,0.5,1,0.26,5.67,38.455,42.08
B1/E07-029/JAS/01,E07-029,0,1,1,1,0.39,33.27,0.5,24.55
