sample_id,hole_id,depth_from,depth_to,core_length,cr_%,lith
B1/E07-031/JAS/05,E07-031,4,5,1,1,SAP
B1/E07-031/JAS/06,E07-031,5,6,1,1,SAP
B1/E07-031/JAS/07,E07-031,6,7,1,1,SAP
B1/E07-031/JAS/08,E07-031,7,8,1,1,SAP
B1/E07-031/JAS/09,E07-031,8,9,1,1,SAP
B1/E07-031/JAS/10,E07-031,9,10,1,1,SAP
B1/E07-031/JAS/11,E07-031,10,11,1,1,SAP
B1/E07-031/JAS/12,E07-031,11,12,1,1,SAP
B1/E07-031/JAS/13,E07-031,12,13,1,1,RSAP
B1/E07-031/JAS/14,E07-031,13,14,1,1,RSAP
B1/E07-031/JAS/15,E07-031,14,15,1,1,RSAP
B1/E07-031/JAS/16,E07-031,15,16,1,1,RSAP
B1/E07-031/JAS/17,E07-031,16,17,1,1,RSAP
B1/E07-031/JAS/18,E07-031,17,18,1,1,RSAP
B1/E07-031/JAS/19,E07-031,18,19,1,1,BRK
B1/E07-031/JAS/20,E07-031,19,20,1,1,BRK
B1/E07-032/JAS/01,E07-032,0,1,1,1,LIM
B1/E07-032/JAS/02,E07-032,1,2,1,1,SAP
B1/E07-032/JAS/03,E07-032,2,3,1,1,SAP
B1/E07-032/JAS/04,E07-032,3,4,1,1,SAP
B1/E07-032/JAS/05,E07-032,4,5,1,1,SAP
B1/E07-032/JAS/06,E07-032,5,6,1,1,RSAP
B1/E07-032/JAS/07,E07-032,6,6.4,0.4,1,RSAP
B1/E07-032/JAS/08,E07-032,6.4,7,0.6,1,RSAP
B1/E07-032/JAS/09,E07-032,7,8,1,1,RSAP
B1/E07-032/JAS/10,E07-032,8,9,1,1,RSAP
B1/E07-032/JAS/11,E07-032,9,9.65,0.65,1,RSAP
B1/E07-032/JAS/12,E07-032,9.65,10,0.35,1,SROC
B1/E07-032/JAS/13,E07-032,10,11,1,1,SROC
B1/E07-032/JAS/14,E07-032,11,11.25,0.25,1,BLD
B1/E07-032/JAS/15,E07-032,11.25,11.7,0.45,1,SROC
B1/E07-032/JAS/16,E07-032,11.7,12,0.3,1,BLD
B1/E07-032/JAS/17,E07-032,12,13.1,1.1,1,BLD
B1/E07-032/JAS/18,E07-032,13.1,14,0.9,1,BLD
B1/E07-032/JAS/19,E07-032,14,14.55,0.55,1,SROC
B1/E07-032/JAS/20,E07-032,14.55,15,0.45,1,BRK
B1/E07-049/JAS/01,E07-049,0,1,1,1,LIM
B1/E07-049/JAS/02,E07-049,1,2,0.79,0.79,SAP
B1/E07-049/JAS/03,E07-049,2,3,1,1,SAP
B1/E07-049/JAS/04,E07-049,3,4,1,1,RSAP
B1/E07-049/JAS/05,E07-049,4,5,1,1,SAP
B1/E07-049/JAS/06,E07-049,5,6,1,1,SROC
B1/E07-049/JAS/07,E07-049,6,7,1,1,BRK
B1/E07-050/JAS/01,E07-050,0,1,1,1,LIM
B1/E07-050/JAS/02,E07-050,1,1.7,0.7,1,LIM
B1/E07-050/JAS/03,E07-050,1.7,2,0.3,1,LIM
B1/E07-050/JAS/04,E07-050,2,3,1,1,LIM
B1/E07-050/JAS/05,E07-050,3,4,1,1,SAP
B1/E07-050/JAS/06,E07-050,4,4.75,0.75,1,SAP
B1/E07-050/JAS/07,E07-050,4.75,5,0.25,1,BLD
B1/E07-050/JAS/08,E07-050,5,6,1,1,SAP
B1/E07-050/JAS/09,E07-050,6,7,1,1,SAP
B1/E07-050/JAS/10,E07-050,7,8,1,1,SAP
B1/E07-050/JAS/11,E07-050,8,9,1,1,SAP
B1/E07-050/JAS/12,E07-050,9,10,1,1,SAP
B1/E07-050/JAS/13,E07-050,10,11,1,1,RSAP
B1/E07-050/JAS/14,E07-050,11,11.5,0.5,1,SAP
B1/E07-050/JAS/15,E07-050,11.5,12,0.5,1,RSAP
B1/E07-050/JAS/16,E07-050,12,12.6,0.6,1,SAP
B1/E07-050/JAS/17,E07-050,12.6,13,0.4,1,RSAP
B1/E07-050/JAS/18,E07-050,13,13.24,0.24,1,SROC
B1/E07-050/JAS/19,E07-050,13.24,14,0.76,1,BRK
B1/E07-050/JAS/20,E07-050,14,15,1,1,BRK
B1/E07-051/JAS/01,E07-051,0,1,1,1,LIM
B1/E07-051/JAS/02,E07-051,1,2,1,1,SAP
B1/E07-051/JAS/03,E07-051,2,3,0.9,0.9,SAP
B1/E07-051/JAS/04,E07-051,3,4,1,1,SAP
B1/E07-051/JAS/05,E07-051,4,5,1,1,SAP
B1/E07-051/JAS/06,E07-051,5,6,1,1,SAP
B1/E07-051/JAS/07,E07-051,6,7,1,1,SAP
B1/E07-051/JAS/08,E07-051,7,7.75,0.75,1,BLD
B1/E07-051/JAS/09,E07-051,7.75,8,0.25,1,SAP
B1/E07-051/JAS/10,E07-051,8,9,1,1,SAP
B1/E07-051/JAS/11,E07-051,9,10,1,1,SAP
B1/E07-051/JAS/12,E07-051,10,11,1,1,SAP
B1/E07-051/JAS/13,E07-051,11,12,1,1,SAP
B1/E07-051/JAS/14,E07-051,12,13,1,1,SAP
B1/E07-051/JAS/15,E07-051,13,14,1,1,SAP
B1/E07-051/JAS/16,E07-051,14,15,1,1,SAP
B1/E07-051/JAS/17,E07-051,15,16,1,1,SAP
B1/E07-051/JAS/18,E07-051,16,17,0.9,0.9,BRK
B1/E07-051/JAS/19,E07-051,17,18,1,1,BRK
B1/E07-052/JAS/01,E07-052,0,1,1,1,LIM
B1/E07-052/JAS/02,E07-052,1,2,0.9,0.9,LIM
B1/E07-052/JAS/03,E07-052,2,3,1,1,SAP
B1/E07-052/JAS/04,E07-052,3,4,1,1,SAP
B1/E07-052/JAS/05,E07-052,4,5,1,1,SAP
B1/E07-052/JAS/06,E07-052,5,5.4,0.4,1,SAP
B1/E07-052/JAS/07,E07-052,5.4,5.7,0.3,1,BLD
B1/E07-052/JAS/08,E07-052,5.7,6,0.3,1,SAP
B1/E07-052/JAS/09,E07-052,6,7,1,1,SAP
B1/E07-052/JAS/10,E07-052,7,8,1,1,SAP
B1/E07-052/JAS/11,E07-052,8,9,1,1,RSAP
B1/E07-052/JAS/12,E07-052,9,10,1,1,RSAP
B1/E07-052/JAS/13,E07-052,10,11,1,1,RSAP
B1/E07-052/JAS/14,E07-052,11,12,1,1,RSAP
B1/E07-052/JAS/15,E07-052,12,13,1,1,RSAP
